SJNB, Test_session, Date, Age, test_time, block, trials, Rocket1, Rocket2, Rocket3, Rocket4, RT, Correct 
161,0,23-Jan-2020 13:06:24,10,1,1,1,1,0,0,0,1415,0
161,0,23-Jan-2020 13:06:24,10,1,1,2,0,1,0,0,4475,0
161,0,23-Jan-2020 13:06:24,10,1,1,3,1,1,0,0,1853,0
161,0,23-Jan-2020 13:06:24,10,1,1,4,1,1,0,0,1305,0
161,0,23-Jan-2020 13:06:24,10,1,1,5,0,1,1,0,1087,0
161,0,23-Jan-2020 13:06:24,10,1,1,6,0,0,1,1,3930,0
161,0,23-Jan-2020 13:06:24,10,1,1,7,1,0,0,1,1633,0
161,0,23-Jan-2020 13:06:24,10,1,1,8,0,1,1,0,1415,0
161,0,23-Jan-2020 13:06:24,10,1,1,9,0,0,1,1,5135,0
161,0,23-Jan-2020 13:06:24,10,1,1,10,1,0,1,0,1633,1
161,0,23-Jan-2020 13:06:24,10,1,2,1,0,1,0,1,1857,1
161,0,23-Jan-2020 13:06:24,10,2,1,1,0,1,1,0,1308,0
161,0,23-Jan-2020 13:06:24,10,2,1,2,1,1,0,0,977,0
161,0,23-Jan-2020 13:06:24,10,2,1,3,0,1,0,1,979,0
161,0,23-Jan-2020 13:06:24,10,2,1,4,1,0,1,0,1415,1
161,0,23-Jan-2020 13:06:24,10,2,2,1,0,1,0,1,3286,1
