SJNB, Test_session, Date, Age, test_time, block, trials, Rocket1, Rocket2, Rocket3, Rocket4, RT, Correct 
025,0,10-May-2019 19:01:48,9,1,1,1,0,0,0,0,2395627,0
025,0,10-May-2019 19:01:48,9,1,1,2,0,0,0,0,2434478,0
025,0,10-May-2019 19:01:48,9,1,1,3,0,0,0,0,2448690,0
025,0,10-May-2019 19:01:48,9,1,1,4,1,0,1,0,1507,1
025,0,10-May-2019 19:01:48,9,1,2,1,0,1,0,1,923,1
025,0,10-May-2019 19:01:48,9,2,1,1,1,0,0,1,807,0
025,0,10-May-2019 19:01:48,9,2,1,2,0,1,1,0,924,0
025,0,10-May-2019 19:01:48,9,2,1,3,1,0,1,0,574,1
025,0,10-May-2019 19:01:48,9,2,2,1,0,0,0,0,4406,0
025,0,10-May-2019 19:01:48,9,2,2,2,0,1,0,1,1040,1
