SJNB, Test_session, Date, Age, test_time, block, trials, Rocket1, Rocket2, Rocket3, Rocket4, RT, Correct 
061,1,26-Nov-2019 12:52:24,9,1,1,1,0,0,0,0,9587856,0
061,1,26-Nov-2019 12:52:24,9,1,1,2,0,1,0,0,2458,0
061,1,26-Nov-2019 12:52:24,9,1,1,3,1,1,0,0,925,0
061,1,26-Nov-2019 12:52:24,9,1,1,4,0,0,1,1,2091,0
061,1,26-Nov-2019 12:52:24,9,1,1,5,1,0,1,0,1276,1
061,1,26-Nov-2019 12:52:24,9,1,2,1,0,1,0,1,1042,1
SJNB, Test_session, Date, Age, test_time, block, trials, Rocket1, Rocket2, Rocket3, Rocket4, RT, Correct 
061,1,26-Nov-2019 13:00:30,9,1,1,1,0,0,0,0,2441,0
061,1,26-Nov-2019 13:00:30,9,1,1,2,1,0,1,0,1508,1
061,1,26-Nov-2019 13:00:30,9,1,2,1,0,1,0,1,1275,1
061,1,26-Nov-2019 13:00:30,9,2,1,1,1,0,1,0,2208,1
061,1,26-Nov-2019 13:00:30,9,2,2,1,0,1,0,1,926,1
